,DISEASE/TRAIT,CHR_ID,CHR_POS,CONTEXT,INTERGENIC
130,Insulin resistance/response,15,26043247,intron_variant,0.0
131,Insulin resistance/response,8,4220831,intron_variant,0.0
132,Non-small cell lung cancer,18,10899030,intron_variant,0.0
133,Proinsulin levels,11,72721940,5_prime_UTR_variant,0.0
134,Proinsulin levels,11,47272248,5_prime_UTR_variant,0.0
135,Proinsulin levels,5,96393194,missense_variant,0.0
136,Proinsulin levels,10,112998590,intron_variant,0.0
138,Proinsulin levels,8,117173494,3_prime_UTR_variant,0.0
140,Proinsulin levels,17,2359409,intron_variant,0.0
141,Proinsulin levels,1,98711697,intron_variant,0.0
142,Proinsulin levels,11,47291341,intron_variant,0.0
144,Type 2 diabetes,3,186948673,intron_variant,0.0
145,Type 2 diabetes,10,69171718,3_prime_UTR_variant,0.0
146,Type 2 diabetes,15,77454848,intron_variant,0.0
147,Type 2 diabetes,15,89831025,3_prime_UTR_variant,0.0
148,Type 2 diabetes,20,44360627,intron_variant,0.0
151,Coffee consumption,8,102040149,intron_variant,0.0
153,Coronary restenosis,12,103518728,intergenic_variant,0.0
154,Retinol levels,10,93588425,3_prime_UTR_variant,0.0
158,Lp (a) levels,6,160489485,intron_variant,0.0
159,Lp (a) levels,6,160589086,intron_variant,0.0
160,Lp (a) levels,6,160716958,intron_variant,0.0
161,Graves' disease,6,32369853,intron_variant,0.0
163,Graves' disease,6,30006148,non_coding_transcript_exon_variant,0.0
164,Graves' disease,6,30569829,intergenic_variant,0.0
165,Graves' disease,6,31034839,synonymous_variant,0.0
166,Graves' disease,6,33650385,intron_variant,0.0
168,Breast cancer,7,130969092,intron_variant,0.0
169,Breast cancer,10,62492218,intron_variant,0.0
171,Asthma,10,51733713,intron_variant,0.0
172,Asthma,1,154453788,intron_variant,0.0
175,Aspartate aminotransferase levels,10,98367794,intergenic_variant,0.0
177,Permanent tooth development,2,217030033,intergenic_variant,0.0
179,Permanent tooth development,10,74536031,intron_variant,0.0
183,Blood pressure,8,119423572,3_prime_UTR_variant,0.0
184,Blood pressure,11,130403335,non_coding_transcript_exon_variant,0.0
185,Blood pressure,10,94135420,intron_variant,0.0
186,Blood pressure,12,89666809,intron_variant,0.0
187,Blood pressure,17,46935905,3_prime_UTR_variant,0.0
189,Blood pressure,10,114021768,intergenic_variant,0.0
190,Blood pressure,1,11802721,intron_variant,0.0
192,Blood pressure,4,102267552,missense_variant,0.0
194,Blood pressure,5,158377449,intron_variant,0.0
195,Blood pressure,10,18439030,intron_variant,0.0
196,Blood pressure,10,61707795,intron_variant,0.0
197,Blood pressure,10,103179458,intron_variant,0.0
198,Blood pressure,12,89666809,intron_variant,0.0
199,Blood pressure,12,111569952,intron_variant,0.0
200,Blood pressure,15,74785026,intron_variant,0.0
201,Blood pressure,15,90894158,intron_variant,0.0
202,Blood pressure,20,10988382,intron_variant,0.0
203,Blood pressure,3,47885994,intron_variant,0.0
205,Blood pressure,11,16880721,intron_variant,0.0
206,Blood pressure,11,10328991,intron_variant,0.0
207,Blood pressure,10,103086421,3_prime_UTR_variant,0.0
208,Blood pressure,20,59176062,intron_variant,0.0
210,Blood pressure,11,16880721,intron_variant,0.0
211,Blood pressure,3,41835922,missense_variant,0.0
213,Blood pressure,11,100722807,intron_variant,0.0
214,Blood pressure,20,59176062,intron_variant,0.0
215,Blood pressure,17,46935905,3_prime_UTR_variant,0.0
216,Blood pressure,4,155724361,intron_variant,0.0
217,Blood pressure,3,169383098,intron_variant,0.0
220,Blood pressure,17,49325445,intron_variant,0.0
221,Triglycerides,2,27520287,intron_variant,0.0
222,Triglycerides,7,73573024,non_coding_transcript_exon_variant,0.0
225,Triglycerides,11,116783719,intron_variant,0.0
227,HDL cholesterol,12,112207597,intron_variant,0.0
228,HDL cholesterol,12,112971371,3_prime_UTR_variant,0.0
230,HDL cholesterol,9,104891145,intron_variant,0.0
232,HDL cholesterol,15,58401821,intron_variant,0.0
233,HDL cholesterol,16,56978467,intron_variant,0.0
234,HDL cholesterol,19,44873027,intron_variant,0.0
237,Metabolite levels,5,75352778,intron_variant,0.0
238,Metabolite levels,19,11116650,intron_variant,0.0
240,Metabolite levels,2,168927903,intron_variant,0.0
243,Metabolite levels,19,49496752,intron_variant,0.0
244,Metabolite levels,2,27520287,intron_variant,0.0
245,Metabolite levels,6,127172466,intron_variant,0.0
246,Metabolite levels,3,187999752,intron_variant,0.0
248,Metabolite levels,18,45622439,intron_variant,0.0
249,Metabolite levels,12,112379979,intron_variant,0.0
250,Metabolite levels,22,43930116,intron_variant,0.0
251,Metabolite levels,12,112379979,intron_variant,0.0
252,Metabolite levels,22,43930116,intron_variant,0.0
253,Gamma glutamyl transpeptidase,4,145900258,intron_variant,0.0
256,Gamma glutamyl transpeptidase,12,112207597,intron_variant,0.0
257,Gamma glutamyl transpeptidase,12,112927816,intron_variant,0.0
258,Gamma glutamyl transpeptidase,12,120986153,intron_variant,0.0
259,Gamma glutamyl transpeptidase,22,24594246,intron_variant,0.0
260,Age-related macular degeneration,8,23225458,non_coding_transcript_exon_variant,0.0
261,Age-related macular degeneration,4,56920284,intron_variant,0.0
262,Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN),6,31537703,intron_variant,0.0
265,Obesity (extreme),14,72225785,intron_variant,0.0
266,Obesity (extreme),15,98332800,intergenic_variant,0.0
267,Thoracic aortic aneurysms and dissections,15,48622578,intron_variant,0.0
268,Carotid intima media thickness,8,122395852,intergenic_variant,0.0
270,Carotid intima media thickness,8,10813762,intron_variant,0.0
271,Carotid intima media thickness,6,25771819,intron_variant,0.0
274,Carotid intima media thickness,19,11091630,intron_variant,0.0
275,Carotid intima media thickness,3,66717940,regulatory_region_variant,0.0
276,Schizophrenia,10,60586880,intron_variant,0.0
277,Schizophrenia,10,103016151,intron_variant,0.0
278,Schizophrenia,10,103146454,intron_variant,0.0
279,Schizophrenia,11,17138601,intron_variant,0.0
280,Schizophrenia,11,125591814,5_prime_UTR_variant,0.0
282,Schizophrenia,12,2240418,intron_variant,0.0
283,Schizophrenia,15,40303426,intron_variant,0.0
284,Schizophrenia,15,61547904,intron_variant,0.0
285,Schizophrenia,18,55084786,regulatory_region_variant,0.0
286,Schizophrenia,18,55527730,intron_variant,0.0
287,Schizophrenia,1,98037378,intron_variant,0.0
289,Schizophrenia,1,8362616,intron_variant,0.0
290,Schizophrenia,1,243445665,intron_variant,0.0
291,Schizophrenia,2,193119895,intergenic_variant,0.0
292,Schizophrenia,2,235886699,intron_variant,0.0
293,Schizophrenia,3,62079095,intron_variant,0.0
294,Schizophrenia,3,52821213,intron_variant,0.0
295,Schizophrenia,3,36821489,intron_variant,0.0
296,Schizophrenia,3,180833426,intron_variant,0.0
297,Schizophrenia,6,30206354,intron_variant,0.0
298,Schizophrenia,7,72286331,intron_variant,0.0
299,Schizophrenia,8,4323322,intron_variant,0.0
301,Melanoma,1,150989393,intron_variant,0.0
302,Bipolar disorder,12,2310730,intron_variant,0.0
303,Bipolar disorder,11,66783531,intron_variant,0.0
304,Bipolar disorder,12,48824388,intron_variant,0.0
305,Bipolar disorder,11,79366149,intron_variant,0.0
306,Bipolar disorder,2,65531391,intron_variant,0.0
308,Bipolar disorder,1,41374150,intron_variant,0.0
309,Bipolar disorder,2,98766429,intron_variant,0.0
310,Bipolar disorder,19,48725015,non_coding_transcript_exon_variant,0.0
311,Bipolar disorder,8,141290216,intron_variant,0.0
314,Bipolar disorder,3,52801338,intron_variant,0.0
315,Bipolar disorder,6,152469438,intron_variant,0.0
316,Bipolar disorder,10,60519366,intron_variant,0.0
317,Pulmonary function,1,16980180,intron_variant,0.0
320,Pulmonary function,3,25479091,intron_variant,0.0
321,Pulmonary function,10,12235993,intron_variant,0.0
323,Pulmonary function,16,75356418,intron_variant,0.0
324,Pulmonary function,12,95877650,intron_variant,0.0
326,Pulmonary function,6,108946847,intron_variant,0.0
327,Pulmonary function,12,57133500,intron_variant,0.0
328,Pulmonary function,5,95700996,intergenic_variant,0.0
330,Pulmonary function,16,58041378,intron_variant,0.0
331,Pulmonary function,6,22017509,intron_variant,0.0
332,Pulmonary function,5,52899203,intron_variant,0.0
338,Pulmonary function,10,12235993,intron_variant,0.0
339,Pulmonary function,10,76555466,intron_variant,0.0
340,Pulmonary function,6,28354519,intron_variant,0.0
341,Pulmonary function,3,169582431,intron_variant,0.0
342,Pulmonary function,2,238440721,intron_variant,0.0
344,Pulmonary function,6,29387425,intron_variant,0.0
345,Pulmonary function,6,31504943,intron_variant,0.0
346,Pulmonary function,16,78154841,intron_variant,0.0
347,Pulmonary function,15,78606381,intron_variant,0.0
351,Pulmonary function,3,32887623,intron_variant,0.0
352,Pulmonary function,6,150249731,3_prime_UTR_variant,0.0
353,Pulmonary function,6,108946847,intron_variant,0.0
354,Diastolic blood pressure,15,74785026,intron_variant,0.0
355,Diastolic blood pressure,12,111446804,missense_variant,0.0
357,Diastolic blood pressure,20,59176062,intron_variant,0.0
358,Diastolic blood pressure,4,102267552,missense_variant,0.0
359,Diastolic blood pressure,20,10988382,intron_variant,0.0
360,Diastolic blood pressure,6,26090951,missense_variant,0.0
361,Diastolic blood pressure,15,90894158,intron_variant,0.0
362,Diastolic blood pressure,11,100722807,intron_variant,0.0
364,Diastolic blood pressure,3,169383098,intron_variant,0.0
366,Diastolic blood pressure,6,31648589,intron_variant,0.0
367,Diastolic blood pressure,4,155724361,intron_variant,0.0
368,Hypertension,20,59176062,intron_variant,0.0
369,Hypertension,11,100722807,intron_variant,0.0
370,Hypertension,6,31648589,intron_variant,0.0
371,Hypertension,6,26090951,missense_variant,0.0
373,Systolic blood pressure,10,103086421,3_prime_UTR_variant,0.0
375,Systolic blood pressure,20,59176062,intron_variant,0.0
376,Systolic blood pressure,15,74785026,intron_variant,0.0
377,Systolic blood pressure,15,90894158,intron_variant,0.0
378,Systolic blood pressure,11,100722807,intron_variant,0.0
380,Systolic blood pressure,10,94136183,intron_variant,0.0
381,Systolic blood pressure,4,102267552,missense_variant,0.0
382,Systolic blood pressure,3,169383098,intron_variant,0.0
383,Systolic blood pressure,11,10328991,intron_variant,0.0
384,Systolic blood pressure,6,26090951,missense_variant,0.0
385,Systolic blood pressure,6,31648589,intron_variant,0.0
388,Systolic blood pressure,17,46935905,3_prime_UTR_variant,0.0
389,Dental caries,11,30445953,intron_variant,0.0
390,Dental caries,17,58506844,missense_variant,0.0
391,Dental caries,11,30486561,intron_variant,0.0
393,Alcohol dependence,11,125308507,intron_variant,0.0
394,Alcohol dependence,2,138914385,intergenic_variant,0.0
395,Cardiovascular disease risk factors,1,109275216,3_prime_UTR_variant,0.0
396,Cardiovascular disease risk factors,2,21021128,intron_variant,0.0
397,Cardiovascular disease risk factors,3,165773492,missense_variant,0.0
403,Cardiovascular disease risk factors,12,121033534,synonymous_variant,0.0
404,Cardiovascular disease risk factors,15,58386313,intron_variant,0.0
406,Cardiovascular disease risk factors,19,44892362,intron_variant,0.0
407,Cardiovascular disease risk factors,19,44892362,intron_variant,0.0
408,Cardiovascular disease risk factors,2,27508073,missense_variant,0.0
409,Cardiovascular disease risk factors,4,88124179,intron_variant,0.0
410,Cardiovascular disease risk factors,6,25776721,missense_variant,0.0
411,Cardiovascular disease risk factors,6,26092913,missense_variant,0.0
413,Cardiovascular disease risk factors,19,11091630,intron_variant,0.0
415,Coronary heart disease,9,22115287,intron_variant,0.0
416,Coronary heart disease,12,111803962,missense_variant,0.0
417,Melanoma,1,150887995,intron_variant,0.0
418,Melanoma,1,226376990,intron_variant,0.0
419,Type 1 diabetes,13,75752146,intron_variant,0.0
420,Type 1 diabetes,2,25078886,intron_variant,0.0
422,Type 1 diabetes,7,28189423,intron_variant,0.0
423,Type 1 diabetes,8,118965098,intergenic_variant,0.0
426,Type 1 diabetes,10,98540425,intron_variant,0.0
429,Bipolar disorder,7,1911173,intron_variant,0.0
434,Diastolic blood pressure,11,10328991,intron_variant,0.0
435,Diastolic blood pressure,10,94136183,intron_variant,0.0
436,Hypertension,10,94136183,intron_variant,0.0
440,Hypertension,4,102267552,missense_variant,0.0
441,Hypertension,15,90894158,intron_variant,0.0
443,Systolic blood pressure,20,10988382,intron_variant,0.0
444,Systolic blood pressure,4,155724361,intron_variant,0.0
446,Venous thromboembolism,1,169544768,intron_variant,0.0
449,Corneal structure,2,135045855,intron_variant,0.0
451,Corneal structure,2,135749357,intron_variant,0.0
452,Corneal structure,4,101116562,intron_variant,0.0
454,Hepatitis B,16,9768699,intron_variant,0.0
455,Testosterone levels,17,7618597,intron_variant,0.0
456,Testosterone levels,17,7631360,missense_variant,0.0
457,Melanoma,2,201298088,intron_variant,0.0
458,Melanoma,11,108304735,missense_variant,0.0
459,Melanoma,21,41374154,intron_variant,0.0
460,Melanoma,5,1321972,intron_variant,0.0
461,Melanoma,5,33955221,intron_variant,0.0
462,Melanoma,9,21816529,intron_variant,0.0
463,Melanoma,11,89277878,intron_variant,0.0
464,Melanoma,16,89689495,intron_variant,0.0
466,Melanoma,22,38149612,non_coding_transcript_exon_variant,0.0
468,Height,2,217658439,intron_variant,0.0
469,Height,2,217865142,intron_variant,0.0
470,Height,2,55289187,3_prime_UTR_variant,0.0
471,Height,2,69060811,intron_variant,0.0
472,Height,22,32663679,intron_variant,0.0
473,Height,3,141375367,intron_variant,0.0
475,Height,4,17991787,intron_variant,0.0
477,Height,5,128305169,intron_variant,0.0
479,Height,6,126446454,intergenic_variant,0.0
481,Height,6,34246545,missense_variant,0.0
482,Height,6,35374073,intron_variant,0.0
483,Height,6,5260703,missense_variant,0.0
484,Height,8,119635689,intron_variant,0.0
485,Height,8,134626389,intron_variant,0.0
486,Height,8,69500215,intron_variant,0.0
488,Height,12,53522931,intron_variant,0.0
489,Height,12,65833477,intron_variant,0.0
490,Height,13,35902310,intron_variant,0.0
491,Height,14,75663248,intron_variant,0.0
492,Height,15,88854874,synonymous_variant,0.0
493,Height,15,89073850,intron_variant,0.0
494,Height,17,63685671,intron_variant,0.0
496,Height,18,49061284,intron_variant,0.0
497,Height,19,2275080,3_prime_UTR_variant,0.0
498,Height,X,2967682,intron_variant,0.0
499,Response to antipsychotic therapy (extrapyramidal side effects),4,13912749,intron_variant,0.0
500,Cytomegalovirus antibody response,7,33633653,intergenic_variant,0.0
501,Cytomegalovirus antibody response,15,86510615,intron_variant,0.0
503,Cytomegalovirus antibody response,1,110875293,intron_variant,0.0
504,Cytomegalovirus antibody response,12,3640962,intron_variant,0.0
505,Cytomegalovirus antibody response,13,38796458,intron_variant,0.0
506,Cytomegalovirus antibody response,8,6493731,intron_variant,0.0
508,Cytomegalovirus antibody response,14,90555841,intron_variant,0.0
510,Lipoprotein-associated phospholipase A2 activity and mass,6,46716485,missense_variant,0.0
511,Lipoprotein-associated phospholipase A2 activity and mass,6,46707288,intron_variant,0.0
512,Lipoprotein-associated phospholipase A2 activity and mass,1,109274570,3_prime_UTR_variant,0.0
513,Lipoprotein-associated phospholipase A2 activity and mass,19,11091630,intron_variant,0.0
514,Lipoprotein-associated phospholipase A2 activity and mass,11,116778201,3_prime_UTR_variant,0.0
516,Dengue shock syndrome,6,31507709,intron_variant,0.0
517,Dengue shock syndrome,8,54527508,intron_variant,0.0
518,Dengue shock syndrome,10,94298541,missense_variant,0.0
519,Dengue shock syndrome,16,6767374,intron_variant,0.0
520,Smoking behavior,5,155775518,intergenic_variant,0.0
526,Renal cell carcinoma,12,26300350,intron_variant,0.0
528,Renal cell carcinoma,6,118486684,intron_variant,0.0
529,Corneal structure,3,4972191,intron_variant,0.0
535,Obesity-related traits,9,36969208,intron_variant,0.0
537,Obesity-related traits,9,36969208,intron_variant,0.0
539,Obesity-related traits,18,60295884,intron_variant,0.0
540,Attention deficit hyperactivity disorder,2,60535367,3_prime_UTR_variant,0.0
541,Attention deficit hyperactivity disorder,11,89008492,intron_variant,0.0
543,Response to platinum-based agents,6,1573378,intergenic_variant,0.0
544,Response to platinum-based agents,5,52724562,intron_variant,0.0
546,Height,X,2967682,intron_variant,0.0
547,Height,4,17918188,intron_variant,0.0
548,Height,11,75565133,intron_variant,0.0
550,Height,17,63685671,intron_variant,0.0
551,Height,17,66783312,intron_variant,0.0
552,Height,18,49061284,intron_variant,0.0
553,Leprosy,1,67131436,intron_variant,0.0
554,Leprosy,6,146597814,intron_variant,0.0
555,Leprosy,11,64362250,intron_variant,0.0
558,Height,15,83854003,intron_variant,0.0
560,Schizophrenia,6,28259826,missense_variant,0.0
561,Schizophrenia,11,44821583,intron_variant,0.0
562,Breast cancer,5,1279675,intron_variant,0.0
563,Schizophrenia,1,167933841,intron_variant,0.0
564,Schizophrenia,8,38173827,intron_variant,0.0
568,Liver enzyme levels (alanine transaminase),22,43928847,missense_variant,0.0
569,Liver enzyme levels (alkaline phosphatase),1,21439960,regulatory_region_variant,0.0
570,Liver enzyme levels (alkaline phosphatase),2,168984064,intron_variant,0.0
571,Liver enzyme levels (alkaline phosphatase),6,24491247,intron_variant,0.0
576,Liver enzyme levels (alkaline phosphatase),10,63374062,intron_variant,0.0
577,Liver enzyme levels (alkaline phosphatase),11,61855668,non_coding_transcript_exon_variant,0.0
578,Liver enzyme levels (alkaline phosphatase),11,126413890,intron_variant,0.0
581,Liver enzyme levels (alkaline phosphatase),19,48703346,synonymous_variant,0.0
582,Liver enzyme levels (alkaline phosphatase),20,25317451,intron_variant,0.0
584,Liver enzyme levels (gamma-glutamyl transferase),1,88680551,intron_variant,0.0
585,Liver enzyme levels (gamma-glutamyl transferase),1,111141654,intron_variant,0.0
587,Liver enzyme levels (gamma-glutamyl transferase),2,27508073,missense_variant,0.0
588,Liver enzyme levels (gamma-glutamyl transferase),2,191252512,intron_variant,0.0
589,Liver enzyme levels (gamma-glutamyl transferase),2,232648465,intron_variant,0.0
590,Liver enzyme levels (gamma-glutamyl transferase),3,171007753,intron_variant,0.0
591,Liver enzyme levels (gamma-glutamyl transferase),4,145873469,intron_variant,0.0
593,Liver enzyme levels (gamma-glutamyl transferase),5,52897294,intron_variant,0.0
594,Liver enzyme levels (gamma-glutamyl transferase),6,54059899,intron_variant,0.0
595,Liver enzyme levels (gamma-glutamyl transferase),7,73612048,intron_variant,0.0
596,Liver enzyme levels (gamma-glutamyl transferase),10,77920676,intron_variant,0.0
597,Liver enzyme levels (gamma-glutamyl transferase),12,120987058,intron_variant,0.0
598,Liver enzyme levels (gamma-glutamyl transferase),14,103106478,intron_variant,0.0
599,Liver enzyme levels (gamma-glutamyl transferase),15,60591082,intron_variant,0.0
600,Liver enzyme levels (gamma-glutamyl transferase),15,73685996,intron_variant,0.0
601,Liver enzyme levels (gamma-glutamyl transferase),16,80463704,intron_variant,0.0
602,Liver enzyme levels (gamma-glutamyl transferase),17,72102020,intron_variant,0.0
603,Liver enzyme levels (gamma-glutamyl transferase),18,57655270,missense_variant,0.0
605,Liver enzyme levels (gamma-glutamyl transferase),19,48702915,intron_variant,0.0
606,Liver enzyme levels (gamma-glutamyl transferase),22,17957192,intron_variant,0.0
608,Liver enzyme levels (gamma-glutamyl transferase),22,24603137,intron_variant,0.0
609,Gastric cancer,3,114643917,intron_variant,0.0
610,Gastric cancer,5,40791782,intron_variant,0.0
612,Renal sinus fat,21,31445194,intron_variant,0.0
613,Renal sinus fat,9,69251016,intron_variant,0.0
614,Renal sinus fat,6,129895365,regulatory_region_variant,0.0
615,Renal sinus fat,13,94218511,intron_variant,0.0
619,White blood cell count,1,159205564,missense_variant,0.0
621,Abdominal aortic aneurysm,12,57140687,intron_variant,0.0
622,Alcohol dependence,13,23180988,5_prime_UTR_variant,0.0
623,Alcohol dependence,14,70928887,intron_variant,0.0
624,Response to anti-depressant treatment in major depressive disorder,3,45689959,5_prime_UTR_variant,0.0
627,Response to anti-depressant treatment in major depressive disorder,10,48777065,intron_variant,0.0
628,Response to anti-depressant treatment in major depressive disorder,7,78413974,intron_variant,0.0
630,Response to anti-depressant treatment in major depressive disorder,15,86893514,intron_variant,0.0
631,Response to anti-depressant treatment in major depressive disorder,2,14257928,intron_variant,0.0
632,Response to anti-depressant treatment in major depressive disorder,3,130794,intergenic_variant,0.0
635,Response to anti-depressant treatment in major depressive disorder,6,157620251,intron_variant,0.0
638,Response to anti-depressant treatment in major depressive disorder,15,49647649,3_prime_UTR_variant,0.0
641,Response to anti-depressant treatment in major depressive disorder,X,31997259,intron_variant,0.0
644,White blood cell count,17,39972395,intron_variant,0.0
645,Kawasaki disease,1,161509955,missense_variant,0.0
646,Kawasaki disease,19,40718299,intron_variant,0.0
647,Aortic stiffness,14,98121984,intron_variant,0.0
650,Allergic rhinitis,20,25226018,3_prime_UTR_variant,0.0
652,Allergic rhinitis,16,11065028,intron_variant,0.0
654,Allergic rhinitis,7,42225080,intron_variant,0.0
655,Allergic rhinitis,1,16889836,intron_variant,0.0
656,Allergic rhinitis,5,111072304,intron_variant,0.0
660,IgE grass sensitization,4,122451978,intron_variant,0.0
661,IgE grass sensitization,16,9305867,intergenic_variant,0.0
662,IgE grass sensitization,1,51393570,intron_variant,0.0
663,IgE grass sensitization,5,13740867,intron_variant,0.0
665,IgE grass sensitization,1,179102621,3_prime_UTR_variant,0.0
667,Gamma glutamyl transferase levels,12,120978847,missense_variant,0.0
668,Gamma glutamyl transferase levels,14,103106478,intron_variant,0.0
669,Gamma glutamyl transferase levels,15,60585831,intron_variant,0.0
672,Femoral neck bone geometry,2,74847840,intron_variant,0.0
673,Femoral neck bone geometry,16,20339909,intron_variant,0.0
674,Depression and alcohol dependence,3,8766829,intron_variant,0.0
676,Depression and alcohol dependence,1,50472176,intron_variant,0.0
677,Depression and alcohol dependence,19,45531300,intron_variant,0.0
679,Depression and alcohol dependence,13,24084217,intron_variant,0.0
680,Depression and alcohol dependence,18,56730391,intron_variant,0.0
681,Depression and alcohol dependence,8,17072126,intron_variant,0.0
682,Adiponectin levels,16,82629683,intron_variant,0.0
683,IgE levels,1,159302270,intron_variant,0.0
684,IgE levels,12,57095926,3_prime_UTR_variant,0.0
685,IgE levels,5,132660272,missense_variant,0.0
687,IgE levels,6,29956061,intron_variant,0.0
688,IgE levels,1,159205737,missense_variant,0.0
690,Chronic obstructive pulmonary disease,4,88954758,intron_variant,0.0
691,Chronic obstructive pulmonary disease,19,40796801,3_prime_UTR_variant,0.0
693,Chronic obstructive pulmonary disease,15,78490935,intron_variant,0.0
694,Response to hepatitis C treatment,1,46713638,intron_variant,0.0
696,Response to hepatitis C treatment,1,84399547,intron_variant,0.0
698,Response to hepatitis C treatment,4,49060875,intron_variant,0.0
699,Response to hepatitis C treatment,6,160402996,intron_variant,0.0
700,Response to hepatitis C treatment,6,1535763,intergenic_variant,0.0
703,Bilirubin levels,2,233759924,intron_variant,0.0
705,Type 2 diabetes,10,112998590,intron_variant,0.0
706,Epilepsy,1,200857641,3_prime_UTR_variant,0.0
